ssn,tax,name
5000,918.15,Abigail Powers Fillmore
1200,-181.29,Abigail Smith Adams
8200,-367.36,Abraham Lincoln
2200,-128.58,Andrew Jackson
4700,961.6,Andrew Johnson
2400,-155.51,Angelica Van Buren
4500,-862.78,Anna Eleanor Roosevelt
2600,193.22,Anna Tuthill Symmes Harrison
8080,808.88,Barack Obama
2222,888.88,Barbara Pierce Bush
6100,13.99,Benjamin Harrison
6300,730.61,Benjamin Harrison
9400,-140.16,Betty Bloomer Ford
7900,-536.2,Calvin Coolidge
6000,-208.54,Caroline Lavinia Scott Harrison
5500,986.35,Chester A. Arthur
9000,-823.74,Claudia Taylor Johnson
1600,717.77,Dolley Madison
1800,518.59,Dolley Madison
1234,-123.45,Donald J. Trump
8700,973.53,Dwight D. Eisenhower
7400,586.55,Edith Bolling Galt Wilson
6800,-330.13,Edith Kermit Carow Roosevelt
4600,261.17,Eliza McCardle Johnson
1900,478.76,Elizabeth Kortright Monroe
8400,-290.63,Elizabeth Virginia Wallace Truman
7200,-126.2,Ellen Louise Axson Wilson
2100,643.27,Emily Donelson
7600,682.63,Florence Kling Harding
5800,48.18,Frances Folsom Cleveland
6400,115.06,Frances Folsom Cleveland
8300,-430.19,Franklin D. Roosevelt
4100,-846.55,Franklin Pierce
1111,999.99,George Herbert Walker Bush
8888,333.33,George Walker Bush
1100,369.17,George Washington
9500,191.11,Gerald R. Ford
7800,-637.53,Grace Anna Goodhue Coolidge
5700,-995.11,Grover Cleveland
5900,-723.86,Grover Cleveland
6500,307.06,Grover Cleveland
4200,-38.12,Harriet Lane
8500,331.12,Harry S. Truman
7000,-352.06,Helen Herron Taft
8100,-782.1,Herbert Hoover
7777,555.55,Hillary Rodham Clinton
6600,262.89,Ida Saxton McKinley
8800,708.19,Jacqueline Bouvier Kennedy
5300,-220.75,James A. Garfield
4300,618.47,James Buchanan
3500,-836.1,James K. Polk
2800,-182.39,Jane Irwin Harrison
4000,860.22,Jane Means Appleton Pierce
9700,-548.39,Jimmy Carter
1300,-414.06,John Adams
8900,813.62,John F. Kennedy
3200,-782.31,John Tyler
4800,647.86,Julia Dent Grant
3300,-340.99,Julia Gardiner Tyler
9900,222.22,Laura Welch Bush
3000,-600.47,Letitia Christian Tyler
8000,-44.79,Lou Henry Hoover
2000,267.96,Louisa Catherine Johnson Adams
5200,-513.29,Lucretia Rudolph Garfield
3800,-836.03,Lucy Ware Webb Hayes
9100,-759.52,Lyndon B. Johnson
8600,-229.28,Mamie Doud Eisenhower
3600,297.47,Margaret Mackall Smith Taylor
1000,689.3,Martha Dandridge Custis Washington
1400,350.82,Martha Jefferson Randolph
2500,967.14,Martin Van Buren
6200,-478.33,Mary Harrison McKee
5400,261.42,Mary McElroy
4400,-290.63,Mary Todd Lincoln
4321,-123.44,Melania Trump
8081,808.89,Michelle Obama
3900,-175.76,Millard Fillmore
9800,490.97,Nancy Davis Reagan
9200,542.99,Patricia Ryan Nixon
3100,672.54,Priscilla Cooper Tyler
9300,102.96,Richard Milhous Nixon
9999,496.87,Ronald Reagan
9600,-862.57,Rosalynn Smith Carter
5600,669.12,Rose Cleveland
5100,224.75,Rutherford B. Hayes
3400,164.53,Sarah Childress Polk
2300,5.34,Sarah Yorke Jackson
6900,503.41,Theodore Roosevelt
1500,-606.18,Thomas Jefferson
1700,-408.82,Thomas Jefferson
4900,-328.35,Ulysses S. Grant
7700,-388.95,Warren G. Harding
2700,-243.19,William Henry Harrison
2900,-451.92,William Henry Harrison
7100,-756.8,William Howard Taft
3333,777.77,William Jefferson Clinton
6700,-44.35,William McKinley
7300,133.22,Woodrow Wilson
7500,659.48,Woodrow Wilson
3700,-154.06,Zachary Taylor
